A,12
B,5
C,3
D,11
E,28
F,0
G,11
H,6
I,22
J,0
K,4
L,10
M,6
N,16
O,14
P,1
Q,0
R,6
S,15
T,25
U,4
V,2
W,7
X,1
Y,13
Z,0
